age,gender,occupation,time_bp,time_dp,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,prefer,certaindays_hw
19-25,Male,Student in College,7,4,0.5,4,1,-0.5,-0.5,1.0,1.0,1.0,1.0,1110,1100,Physical,Maybe
19-25,Female,Student in College,9,4,0.5,3,2,-0.5,-1.0,0.0,1.0,-0.5,0.5,1100,1100,Physical,No
19-25,Female,Working Professional,9,12,0.5,2,3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000,1101,Remote,Yes
0-18,Male,Student in School,7,5,1.5,3,3,0.5,-1.0,0.5,-0.5,0.5,0.0,1111,1111,Physical,No
19-25,Male,Student in College,5,7,1.5,2,2,-1.0,-0.5,-1.0,-0.5,-0.5,-1.0,1000,1000,Physical,Yes
19-25,Male,Student in College,7,7,2.5,4,3,0.0,0.0,0.0,1.0,1.0,1.0,1111,1100,Remote,Yes
19-25,Male,Student in College,7,9,0.5,4,3,0.0,-1.0,0.5,1.0,-1.0,0.0,1000,1111,Physical,No
19-25,Prefer not to say,Retired/Senior Citizen,4,9,2.5,3,3,0.5,-1.0,0.0,0.0,-1.0,0.0,1000,100,Physical,Maybe
0-18,Male,Student in College,7,4,1.5,3,5,-1.0,-1.0,1.0,0.0,-0.5,1.0,100,1111,Physical,No
26-32,Female,Working Professional,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,Remote,Yes
19-25,Male,Student in College,4,7,0.5,5,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,1,Physical,Yes
19-25,Male,Student in College,7,4,0.5,5,5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,10,1111,Physical,No
19-25,Female,Student in College,7,9,0.5,4,4,0.5,-0.5,-0.5,0.0,-0.5,0.0,100,11,Remote,Yes
33-40,Male,Working Professional,9,4,0.5,2,3,-0.5,-0.5,-1.0,-0.5,0.5,-0.5,100,100,Physical,Yes
19-25,Male,Student in College,7,7,0.5,2,2,0.0,-1.0,0.5,1.0,-0.5,0.0,1100,1101,Remote,Yes
0-18,Female,Student in School,7,4,2.5,3,4,-0.5,-1.0,0.5,0.0,0.5,0.0,1000,1001,Physical,Yes
19-25,Female,Student in College,7,11,1.5,3,4,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,1001,1110,Physical,No
19-25,Female,Student in College,7,7,2.5,4,2,0.0,-1.0,0.5,0.5,0.0,0.5,1000,1101,Physical,No
19-25,Female,Student in College,7,7,0.5,5,5,-1.0,0.0,-1.0,-1.0,-0.5,-1.0,1,10,Physical,No
19-25,Male,Student in College,5,7,0.5,3,4,0.0,-1.0,1.0,1.0,-0.5,0.0,100,1111,Physical,Maybe
0-18,Male,Student in School,7,5,0.5,4,2,-0.5,-1.0,0.5,0.5,-0.5,0.0,10,1000,Physical,No
19-25,Male,Student in College,7,12,0.5,5,2,-1.0,-1.0,-0.5,1.0,-0.5,0.0,1110,1100,Physical,Maybe
19-25,Female,Student in College,5,5,2.5,2,2,0.5,0.5,-0.5,0.5,-1.0,0.0,1100,1101,Physical,Yes
19-25,Female,Student in College,9,11,0.5,3,3,0.0,0.0,0.0,0.0,0.5,0.0,1110,1111,Physical,No
19-25,Female,Student in College,5,12,0.5,2,3,0.0,-1.0,-0.5,0.0,-1.0,0.0,1100,1101,Physical,Maybe
19-25,Female,Student in College,5,5,0.5,3,3,0.0,0.5,0.0,0.5,-0.5,0.0,100,1111,Physical,Maybe
19-25,Male,Working Professional,9,7,0.5,3,3,0.5,-1.0,0.0,0.5,0.5,1.0,1001,1101,Physical,Yes
19-25,Male,Student in College,7,11,0.5,3,3,-0.5,-1.0,-1.0,-1.0,-1.0,-0.5,1000,1111,Physical,No
19-25,Male,Student in College,5,5,1.5,3,3,-0.5,0.0,0.5,0.5,0.0,0.5,100,1111,Physical,No
19-25,Male,Student in College,7,12,0.5,5,5,0.0,-0.5,0.5,1.0,-1.0,0.5,100,1111,Physical,No
19-25,Male,Student in College,7,11,0.5,4,3,0.0,0.0,0.0,0.0,0.0,0.0,100,1111,Physical,Maybe
19-25,Male,Student in College,9,7,2.5,2,1,0.5,0.5,-0.5,0.5,0.5,1.0,1000,1101,Remote,Yes
0-18,Female,Student in College,9,7,1.5,4,4,-1.0,-1.0,0.5,0.5,0.5,0.5,10,1000,Physical,Yes
0-18,Male,Student in College,5,7,0.5,4,5,0.0,0.0,-0.5,0.5,-0.5,-0.5,100,1111,Physical,Yes
19-25,Female,Student in College,7,12,0.5,5,3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000,1111,Physical,Yes
19-25,Female,Student in College,5,5,0.5,4,3,0.0,-0.5,0.5,0.5,-1.0,-0.5,1100,111,Physical,Maybe
0-18,Male,Student in College,9,7,0.5,3,2,-0.5,0.5,1.0,1.0,-0.5,0.0,11,1100,Physical,Maybe
0-18,Male,Student in College,5,4,0.5,5,5,-1.0,0.0,0.0,1.0,1.0,1.0,100,1,Physical,No
0-18,Male,Student in College,7,7,0.5,5,2,-1.0,-1.0,0.5,1.0,-1.0,0.5,1000,1111,Physical,Maybe
19-25,Male,Student in College,7,11,0.5,2,4,0.0,-0.5,-1.0,-0.5,-1.0,-0.5,1010,1100,Physical,No
19-25,Male,Student in College,5,5,1.5,2,3,-0.5,-1.0,-1.0,-1.0,-1.0,-0.5,1010,1110,Physical,Maybe
19-25,Female,Student in College,5,5,0.5,1,1,1.0,1.0,0.5,0.5,1.0,0.5,1110,1,Remote,Yes
0-18,Female,Student in College,4,9,0.5,1,2,-1.0,-1.0,1.0,-0.5,0.5,0.5,101,1100,Remote,Yes
0-18,Male,Student in College,5,5,1.5,4,4,-0.5,-0.5,0.0,0.5,-0.5,0.0,1000,1011,Physical,Maybe
19-25,Male,Student in College,5,5,0.5,3,3,0.0,0.5,0.5,1.0,0.5,0.5,1110,1111,Physical,Yes
19-25,Male,Student in College,7,7,0.5,4,3,-1.0,-1.0,-0.5,0.0,0.0,-1.0,1000,1100,Physical,Maybe
19-25,Female,Student in College,5,7,1.5,3,2,0.5,-0.5,-0.5,0.0,0.0,0.0,1000,1100,Physical,Maybe
0-18,Male,Student in College,7,7,0.5,3,2,-0.5,0.0,-0.5,1.0,0.0,0.0,1110,1000,Remote,Yes
19-25,Female,Student in College,5,5,0.5,3,4,-0.5,-1.0,0.0,-0.5,-1.0,-0.5,100,1111,Physical,No
33-40,Female,Homemaker,4,4,1.5,4,2,-0.5,-0.5,0.5,0.5,-0.5,-0.5,1000,1100,Physical,No
19-25,Male,Student in College,7,7,1.5,3,3,0.0,0.0,-0.5,1.0,-0.5,0.0,1111,1110,Physical,No
0-18,Female,Student in School,5,5,0.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1111,1011,Physical,Yes
19-25,Male,Student in College,9,5,0.5,4,3,0.0,-0.5,0.0,-1.0,-0.5,0.0,1010,1111,Physical,No
19-25,Male,Student in College,11,5,0.5,1,1,-0.5,-1.0,1.0,0.5,1.0,1.0,1100,1,Remote,Yes
0-18,Male,Student in College,9,5,0.5,4,4,-0.5,0.5,0.5,0.5,-0.5,0.0,1110,1011,Physical,Yes
0-18,Male,Student in College,7,5,0.5,4,5,-1.0,-1.0,0.5,1.0,-0.5,0.5,1000,1111,Physical,Maybe
0-18,Male,Student in College,7,9,0.5,5,2,-1.0,0.0,-1.0,1.0,-1.0,-0.5,10,1111,Physical,No
19-25,Male,Student in College,5,5,0.5,2,2,0.0,-0.5,0.5,0.5,-1.0,0.0,100,1111,Remote,Maybe
19-25,Male,Student in College,7,5,0.5,2,1,0.0,-1.0,0.5,0.5,-0.5,0.0,1110,1,Physical,Maybe
19-25,Male,Student in College,9,7,3.0,3,3,0.5,-1.0,0.5,0.0,-0.5,-0.5,1001,1,Remote,Yes
19-25,Male,Student in College,5,7,0.5,1,2,0.5,0.5,0.0,0.5,0.0,0.5,1000,1100,Remote,Yes
19-25,Female,Student in College,7,7,0.5,4,4,0.0,0.0,0.5,1.0,1.0,0.0,1000,1000,Physical,Maybe
19-25,Male,Student in College,7,11,0.5,5,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,1111,Physical,No
19-25,Male,Student in College,5,7,0.5,4,2,0.0,0.0,0.5,0.0,-0.5,-0.5,1000,1111,Physical,Maybe
0-18,Male,Student in College,5,5,0.5,5,5,-1.0,-1.0,-1.0,0.5,-0.5,-0.5,100,1,Physical,No
19-25,Male,Student in College,11,7,2.5,1,1,0.5,1.0,0.5,1.0,1.0,1.0,1110,1100,Remote,Yes
19-25,Female,Student in College,7,4,0.5,4,5,-0.5,-1.0,0.0,0.0,-1.0,-0.5,10,1101,Physical,Maybe
19-25,Female,Student in College,7,9,0.5,3,2,-0.5,-0.5,0.5,0.5,0.0,0.5,100,1111,Physical,Maybe
0-18,Prefer not to say,Student in School,9,11,1.5,2,4,0.0,-1.0,1.0,0.5,-1.0,-1.0,1001,1111,Remote,Yes
19-25,Male,Student in College,11,5,0.5,2,4,-1.0,0.5,1.0,1.0,0.5,1.0,1100,1000,Physical,No
19-25,Male,Student in College,5,4,0.5,1,3,0.0,0.0,1.0,1.0,0.5,1.0,1110,1000,Remote,Yes
19-25,Male,Student in College,7,9,0.5,4,3,-1.0,-1.0,-0.5,0.0,-1.0,-0.5,1111,1101,Physical,No
19-25,Male,Student in College,7,9,0.5,3,1,0.0,-0.5,1.0,0.5,0.0,0.0,1100,1001,Physical,Yes
19-25,Male,Student in College,7,7,0.5,3,4,-0.5,0.5,1.0,1.0,0.5,0.5,100,1111,Physical,Maybe
0-18,Male,Student in College,12,12,0.5,5,5,-1.0,0.0,0.0,0.0,0.0,0.0,1000,10,Physical,No
0-18,Female,Student in College,11,7,2.5,4,5,-0.5,0.0,-0.5,1.0,0.0,1.0,101,1010,Physical,No
19-25,Male,Student in College,7,7,2.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,Physical,Maybe
19-25,Male,Student in College,5,5,0.5,4,2,-0.5,-0.5,0.0,0.0,-0.5,-0.5,10,1111,Physical,No
19-25,Female,Student in College,5,4,0.5,1,3,0.0,0.0,0.5,0.0,-0.5,-0.5,10,1101,Physical,Maybe
19-25,Female,Student in College,5,12,0.5,5,3,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,10,1100,Physical,No
0-18,Male,Student in College,5,7,0.5,3,4,-0.5,-0.5,0.0,0.0,-1.0,-0.5,100,1000,Physical,Yes
19-25,Male,Student in College,5,7,0.5,4,3,0.0,0.5,0.5,0.5,-0.5,0.0,1110,1111,Physical,Maybe
19-25,Female,Student in College,5,7,0.5,4,4,-0.5,-1.0,-0.5,0.0,-0.5,-0.5,101,101,Physical,No
19-25,Female,Student in College,5,7,0.5,4,4,0.5,-1.0,0.5,1.0,0.0,-0.5,1000,1111,Physical,Yes
19-25,Female,Student in College,7,12,3.0,3,3,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,1111,1111,Physical,Maybe
19-25,Male,Student in College,5,9,0.5,5,3,0.0,0.5,-0.5,0.5,-0.5,-0.5,10,1000,Remote,Maybe
0-18,Male,Student in College,7,9,1.5,4,3,0.0,0.0,0.5,0.5,0.0,0.0,1100,1111,Physical,Maybe
19-25,Male,Student in College,7,11,2.5,2,1,0.5,-1.0,-1.0,0.5,0.5,0.5,1110,1101,Remote,Yes
19-25,Female,Student in College,9,11,1.5,3,3,0.5,-1.0,-0.5,0.0,-1.0,0.0,1100,1101,Physical,Yes
19-25,Male,Student in College,7,7,0.5,3,4,0.5,0.0,1.0,1.0,0.5,0.0,1010,1111,Physical,Yes
0-18,Female,Student in College,5,4,0.5,3,3,0.0,-0.5,0.5,1.0,0.0,0.5,1000,1101,Physical,Maybe
0-18,Female,Student in College,5,4,0.5,3,3,0.0,-0.5,0.5,1.0,0.0,0.5,1000,1101,Physical,Maybe
19-25,Male,Student in College,9,12,0.5,3,3,0.0,-0.5,-0.5,0.0,-0.5,-0.5,1000,1100,Physical,Maybe
19-25,Male,Student in College,7,4,0.5,2,2,0.5,-0.5,0.5,1.0,0.0,0.5,1100,1000,Physical,Yes
19-25,Male,Student in College,7,5,0.5,4,4,0.0,-0.5,0.0,0.0,-0.5,0.0,1000,1101,Physical,Yes
19-25,Male,Student in College,5,7,0.5,4,3,-1.0,-0.5,0.0,-0.5,0.0,-1.0,1011,11,Physical,Yes
19-25,Male,Student in College,7,4,1.5,3,3,-0.5,-0.5,0.5,0.0,0.5,1.0,1010,1111,Physical,Maybe
19-25,Male,Student in College,5,4,0.5,2,5,-1.0,-1.0,1.0,0.5,1.0,1.0,1111,1000,Physical,Maybe
19-25,Male,Student in College,7,9,0.5,4,4,0.0,0.0,0.0,0.0,0.0,0.0,1000,1000,Physical,Yes
19-25,Male,Student in College,7,7,1.5,3,3,0.0,0.5,-0.5,1.0,-0.5,0.0,111,1111,Physical,Yes
19-25,Male,Student in College,5,7,0.5,5,2,1.0,1.0,1.0,1.0,0.0,1.0,1101,1101,Physical,Yes
19-25,Male,Student in College,12,12,0.5,1,3,-1.0,-1.0,0.0,0.0,0.0,0.0,1110,1111,Physical,Yes
19-25,Male,Student in College,7,7,0.5,3,3,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,1000,10,Physical,No
19-25,Male,Student in College,7,5,1.5,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1110,1,Remote,Yes
19-25,Male,Working Professional,5,5,1.5,2,2,0.5,0.5,0.5,0.5,0.5,0.5,1110,1101,Physical,Maybe
19-25,Male,Student in College,5,9,1.5,4,2,0.0,-1.0,-1.0,0.5,-0.5,-0.5,1100,1111,Physical,No
19-25,Male,Student in College,7,5,1.5,3,3,0.0,-1.0,0.0,1.0,0.5,1.0,1000,1100,Physical,Maybe
19-25,Male,Student in College,7,7,1.5,3,3,0.5,0.0,0.0,1.0,0.5,0.5,1110,1101,Remote,Maybe
19-25,Female,Currently Out of Work,7,4,0.5,2,4,-0.5,-0.5,-0.5,0.5,0.0,0.0,100,1111,Physical,Yes
19-25,Male,Student in College,7,11,1.5,1,2,1.0,0.5,1.0,1.0,0.5,1.0,1100,10,Remote,Yes
19-25,Male,Student in College,9,4,1.5,1,5,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,1110,11,Remote,No
19-25,Male,Entrepreneur,5,4,1.5,2,1,-0.5,-0.5,0.0,0.5,-1.0,-0.5,1000,1000,Physical,Maybe
19-25,Male,Student in College,7,4,0.5,4,3,-0.5,-1.0,0.0,-1.0,0.5,-0.5,1010,1111,Physical,Yes
19-25,Male,Working Professional,11,7,1.5,4,5,0.0,0.0,0.0,-1.0,-1.0,0.0,101,1101,Physical,No
19-25,Female,Student in College,7,5,2.5,1,5,-1.0,-0.5,0.5,0.5,-0.5,0.0,100,1111,Physical,No
19-25,Male,Student in College,7,4,1.5,2,1,0.0,1.0,1.0,0.5,0.5,0.0,1101,1010,Remote,Maybe
0-18,Male,Student in College,5,4,0.5,1,3,-0.5,-0.5,-0.5,0.5,0.5,0.5,1100,1001,Physical,Maybe
19-25,Female,Student in College,9,5,1.5,3,5,-0.5,-0.5,0.5,0.5,0.0,0.5,10,1111,Physical,Maybe
19-25,Male,Student in College,5,7,0.5,2,3,0.0,-1.0,0.0,1.0,0.0,0.0,100,1101,Physical,No
19-25,Male,Student in College,7,5,0.5,2,1,0.5,0.5,1.0,1.0,0.5,1.0,1000,1000,Remote,Yes
19-25,Male,Student in College,4,9,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,100,Physical,Yes
19-25,Male,Student in College,7,9,0.5,4,5,-1.0,0.0,-1.0,-0.5,-0.5,-0.5,1010,1111,Physical,No
19-25,Male,Student in College,7,11,3.0,2,2,0.0,-0.5,-1.0,-1.0,-0.5,-1.0,1000,1001,Remote,Yes
19-25,Male,Student in College,7,4,0.5,3,4,0.0,0.0,0.0,1.0,0.5,0.5,1100,11,Physical,Maybe
19-25,Male,Student in College,7,9,0.5,3,3,0.0,0.5,-0.5,0.5,0.5,0.5,1000,1110,Physical,Maybe
19-25,Male,Student in College,9,5,3.0,3,3,-0.5,0.0,0.5,0.5,0.5,0.0,1111,1101,Physical,Maybe
19-25,Female,Working Professional,7,4,0.5,1,1,0.0,-1.0,1.0,1.0,0.5,0.5,1111,111,Physical,Yes
19-25,Male,Student in College,7,4,1.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1111,100,Remote,Yes
19-25,Female,Student in College,7,5,0.5,3,4,0.0,0.0,0.5,0.5,0.5,0.5,110,1001,Remote,Yes
19-25,Male,Working Professional,7,9,0.5,2,4,0.0,0.5,-0.5,0.0,-0.5,0.0,1010,1011,Physical,Yes
19-25,Male,Student in College,9,4,0.5,3,3,0.5,-0.5,0.5,0.5,0.5,0.0,111,1100,Physical,Yes
19-25,Male,Student in College,7,7,1.5,3,4,-0.5,0.5,1.0,1.0,-0.5,-0.5,1010,1110,Physical,Yes
0-18,Female,Student in School,5,4,0.5,4,4,-1.0,-0.5,0.0,0.0,-1.0,0.5,1000,1101,Physical,Maybe
19-25,Female,Currently Out of Work,7,4,0.5,2,3,0.0,-1.0,0.5,1.0,0.0,0.0,1111,1000,Physical,Yes
19-25,Male,Student in College,9,9,0.5,4,3,-0.5,-0.5,-1.0,-0.5,0.0,-1.0,100,100,Physical,No
19-25,Male,Entrepreneur,4,4,0.5,2,1,1.0,0.5,0.5,0.0,0.5,0.0,1101,1100,Remote,Maybe
19-25,Male,Student in College,9,4,0.5,3,2,-0.5,-0.5,0.5,0.5,0.0,0.5,1111,1111,Physical,Maybe
19-25,Male,Student in College,7,4,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1100,1111,Physical,Maybe
19-25,Male,Currently Out of Work,9,4,1.5,5,3,-0.5,-0.5,0.5,0.5,0.0,0.5,1000,1,Physical,Yes
19-25,Female,Student in College,5,4,0.5,3,1,0.0,1.0,0.5,0.5,0.0,0.5,1100,1000,Physical,Maybe
19-25,Female,Student in College,7,7,0.5,3,2,0.5,0.5,0.5,0.5,0.5,0.5,1110,1111,Physical,Yes
19-25,Male,Student in College,5,5,0.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,100,1,Physical,Maybe
60+,Prefer not to say,Homemaker,12,12,3.0,1,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1111,1111,Physical,Maybe
19-25,Male,Student in College,5,4,0.5,2,3,0.0,-0.5,0.0,0.0,0.0,0.0,1010,1110,Physical,Yes
19-25,Male,Student in College,7,4,0.5,3,4,-0.5,-1.0,0.5,0.5,-0.5,0.5,1110,1111,Physical,No
40-50,Female,Homemaker,7,9,0.5,3,3,0.0,-0.5,0.5,1.0,0.5,-0.5,1100,101,Physical,Yes
40-50,Male,Working Professional,9,11,2.5,3,3,-0.5,-0.5,1.0,0.5,-1.0,0.5,1100,1001,Physical,Yes
19-25,Male,Student in College,5,7,0.5,1,3,0.5,-0.5,0.5,0.5,0.5,0.5,1100,110,Remote,Yes
19-25,Male,Student in College,5,5,2.5,2,2,0.5,-0.5,1.0,0.5,0.5,0.5,1100,11,Remote,Yes
19-25,Male,Entrepreneur,7,5,0.5,3,3,-0.5,-1.0,0.5,0.0,-0.5,0.0,1100,111,Physical,Maybe
0-18,Male,Student in School,7,5,0.5,3,3,0.5,0.0,1.0,1.0,0.5,0.5,1000,1000,Remote,Yes
